x z p
-0.266934 0.065972 101324.937500
-0.265330 0.066175 101324.937500
-0.263727 0.066374 101324.937500
-0.262124 0.066570 101324.937500
-0.260521 0.066760 101324.937500
-0.258918 0.066946 101324.937500
-0.257314 0.067129 101324.937500
-0.255711 0.067307 101324.937500
-0.254108 0.067482 101324.937500
-0.252505 0.067652 101324.937500
-0.250902 0.067818 101324.937500
-0.249298 0.067981 101324.937500
-0.247695 0.068139 101324.937500
-0.246092 0.068294 101324.937500
-0.244489 0.068445 101324.937500
-0.242886 0.068592 101324.937500
-0.241282 0.068736 101324.937500
-0.239679 0.068876 101324.937500
-0.238076 0.069012 101324.937500
-0.236473 0.069146 101324.937500
-0.234870 0.069274 101324.937500
-0.233266 0.069401 101324.937500
-0.231663 0.069523 101324.937500
-0.230060 0.069642 101324.937500
-0.228457 0.069758 101324.937500
-0.226854 0.069871 101324.937500
-0.225250 0.069981 101324.937500
-0.223647 0.070086 101324.937500
-0.222044 0.070190 101324.937500
-0.220441 0.070290 101324.937500
-0.218838 0.070386 101324.937500
-0.217234 0.070479 101324.937500
-0.215631 0.070570 101324.937500
-0.214028 0.070657 101324.937500
-0.212425 0.070741 101324.937500
-0.210822 0.070822 101324.937500
-0.209218 0.070901 101324.937500
-0.207615 0.070976 101324.968750
-0.206012 0.071049 101324.968750
-0.204409 0.071118 101324.968750
-0.202806 0.071186 101324.968750
-0.201202 0.071250 101324.968750
-0.199599 0.071311 101324.968750
-0.197996 0.071370 101324.968750
-0.196393 0.071426 101324.968750
-0.194790 0.071479 101324.968750
-0.193186 0.071530 101324.968750
-0.191583 0.071578 101324.968750
-0.189980 0.071623 101324.968750
-0.188377 0.071666 101324.968750
-0.186774 0.071706 101324.968750
-0.185170 0.071744 101324.968750
-0.183567 0.071780 101324.968750
-0.181964 0.071813 101324.968750
-0.180361 0.071843 101324.968750
-0.178758 0.071870 101324.968750
-0.177154 0.071896 101324.968750
-0.175551 0.071919 101324.968750
-0.173948 0.071940 101324.968750
-0.172345 0.071958 101324.968750
-0.170742 0.071974 101324.968750
-0.169138 0.071988 101324.968750
-0.167535 0.072000 101324.968750
-0.165932 0.072009 101325.109375
-0.164329 0.072016 101325.109375
-0.162726 0.072021 101325.109375
-0.161122 0.072023 101325.109375
-0.159519 0.072024 101325.109375
-0.157916 0.072022 101325.109375
-0.156313 0.072018 101325.109375
-0.154710 0.072013 101325.109375
-0.153106 0.072004 101325.109375
-0.151503 0.071994 101325.109375
-0.149900 0.071982 101325.109375
-0.148297 0.071968 101325.109375
-0.146694 0.071951 101325.109375
-0.145090 0.071933 101325.109375
-0.143487 0.071913 101325.109375
-0.141884 0.071890 101325.109375
-0.140281 0.071866 101325.109375
-0.138678 0.071839 101325.109375
-0.137074 0.071811 101325.109375
-0.135471 0.071781 101325.109375
-0.133868 0.071749 101325.109375
-0.132265 0.071714 101325.109375
-0.130662 0.071678 101325.109375
-0.129058 0.071641 101325.109375
-0.127455 0.071601 101325.109375
-0.125852 0.071559 101325.109375
-0.124249 0.071516 101325.070312
-0.122646 0.071470 101325.070312
-0.121042 0.071423 101325.070312
-0.119439 0.071374 101325.070312
-0.117836 0.071324 101325.070312
-0.116233 0.071271 101325.070312
-0.114630 0.071217 101325.070312
-0.113026 0.071161 101325.070312
-0.111423 0.071103 101325.070312
-0.109820 0.071043 101325.070312
-0.108217 0.070982 101325.070312
-0.106614 0.070919 101325.070312
-0.105010 0.070854 101325.070312
-0.103407 0.070789 101325.070312
-0.101804 0.070721 101325.070312
-0.100201 0.070651 101325.070312
